uri	year	title	author	word_count	word_types	ncommon_tok	nold_tok	nnew_tok	nlapsed_tok	ncommon_typ	nold_typ	nnew_typ	nlapsed_typ
VAC5545	1837	Eveline Mandeville	Addison, Alvin.	70878	6096	98.508705098902	0.12133525212337	1.0553345184684	0.31462513050594	94.176509186352	0.049212598425197	5.3641732283465	0.41010498687664
VAC6620	1845	The Orange Girl of Venice, or, The Secret Council of Ten	Hannigan, Dennis.	93505	13782	98.708090476445	0.15186353670927	0.89834768194214	0.24169830490348	95.523146132637	0.31925700188652	3.1490349731534	1.0085618923233
VAC8373	1851	Edward Wilton, or, Early Days of Michigan	Woodville, Fanny.	44276	6437	99.245640979312	0.26425151323516	0.3771795103442	0.11292799710904	97.421158924965	0.46605561597017	1.4292372223085	0.68354823675625
VAC5625	1851	Lessons in Life	Arthur, T. S. (1809-1885)	48779	4507	98.366100166055	1.0516820763033	0.551466819738	0.030750937903606	96.627468382516	0.066563124029288	3.1728422453961	0.13312624805858
VAC5627	1851	The Lights and Shadows of Real Life	Arthur, T. S. (1809-1885)	177536	8957	98.67632480173	0.66296413121846	0.56382930785869	0.096881759192502	95.9807971419	0.15630233337055	3.4163224293848	0.44657809534442
VAC5634	1851	Off-hand Sketches	Arthur, T. S. (1809-1885)	46350	4791	98.532901833873	0.78532901833873	0.58252427184466	0.099244875943905	96.702149864329	0.083489876852432	2.9847630974744	0.22959716134419
VAC5641	1851	Seed-time and Harvest, or, Whatsoever a Man Soweth, That Shall He Also Reap	Arthur, T. S. (1809-1885)	49823	4677	98.75358770046	0.49976918290749	0.70850811874034	0.03813499789254	96.514859952961	0.10690613641223	3.2285653196493	0.14966859097712
VAC5646	1851	Stories for Parents	Arthur, T. S. (1809-1885)	48866	4898	98.495886710596	0.72647648671878	0.56276347562723	0.21487332705767	97.060024499796	0.10208248264598	2.5112290730911	0.32666394446713
VAC5647	1851	Stories for Young Housekeepers	Arthur, T. S. (1809-1885)	48869	4434	97.980314718942	1.2359573553787	0.70801530622685	0.075712619452004	96.617050067659	0.1127649977447	2.9318899413622	0.3382949932341
VAC5655	1851	The Tried and the Tempted	Arthur, T. S. (1809-1885)	50013	5163	98.770319716874	0.68182272609122	0.5178653550077	0.029992202027473	96.90102653496	0.077474336625993	2.8278132868487	0.19368584156498
VAC5659	1851	The Two Wives, or, Lost and Won	Arthur, T. S. (1809-1885)	45926	4905	98.946130732047	0.44637024778992	0.56177328746244	0.045725732700431	96.371049949032	0.10193679918451	3.1804281345566	0.34658511722732
VAC5660	1851	The Way to Prosper, or, In Union There is Strength	Arthur, T. S. (1809-1885)	48923	4414	98.888048566114	0.40880567422276	0.6663532489831	0.036792510680048	96.511101042139	0.090620752152243	3.1943815133666	0.20389669234255
VAC5661	1851	The Ways of Providence, or "He Doeth All Things Well"	Arthur, T. S. (1809-1885)	48815	4907	98.746287001946	0.71494417699478	0.52647751715661	0.012291303902489	96.963521499898	0.061137151008763	2.8734460974119	0.10189525168127
VAC5667	1851	Woman's Trials, or, Tales and Sketches From the Life Around Us	Arthur, T. S. (1809-1885)	48440	4304	98.44137076796	1.0590421139554	0.47068538398018	0.028901734104046	97.165427509294	0.11617100371747	2.5092936802974	0.20910780669145
VAC5668	1851	Words for the Wise	Arthur, T. S. (1809-1885)	49119	4545	98.526028624361	0.63315621246361	0.6657301655164	0.17508499765875	96.655665566557	0.088008800880088	2.9482948294829	0.30803080308031
VAC5721	1851	The Circassian Slave, or, The Sultan's Favorite	Ballou, Maturin Murray, (1820-1895)	40385	5066	99.447814782716	0.0024761668936486	0.52247121455986	0.027237835830135	97.315436241611	0.019739439399921	2.4871693643901	0.17765495459929
VAC5723	1851	The Gipsey Daughter, or, The Fortunes of a Spanish Cavalier	Ballou, Maturin Murray, (1820-1895)	55857	5696	98.795137583472	0.0053708577259788	1.1815886997153	0.017902859086596	97.015449438202	0.035112359550562	2.8265449438202	0.12289325842697
VAC5732	1851	The Howards	Barlow, D.H.	14607	3104	98.918326829602	0.068460327240364	0.9584445813651	0.054768261792291	96.649484536082	0.064432989690722	3.0927835051546	0.19329896907216
VAC5751	1851	Io	Barton, K.	70521	7276	99.326441769118	0.029778363891607	0.59273124317579	0.051048623814183	96.907641561297	0.10995052226498	2.7487630566245	0.23364485981308
VAC5796	1851	The League of the Miami	Bennett, Emerson, (1822-1905)	64477	5959	98.816632287482	0.09305643873009	0.79253066985126	0.29778060393629	96.710857526431	0.11746937405605	2.8024836381943	0.36918946131901
VAC5800	1851	The Pioneer's Daughter	Bennett, Emerson, (1822-1905)	43996	5209	99.229475406855	0.10910082734794	0.57505227747977	0.08637148831712	97.024380879247	0.19197542714533	2.3612977538875	0.42234593971972
VAC5802	1851	The Unknown Countess	Bennett, Emerson, (1822-1905)	54688	6391	99.416691047396	0.067656524283207	0.46811000585138	0.04754242246928	97.027069316226	0.093882021592865	2.5974025974026	0.28164606477859
VAC5809	1851	Poems and Tales	Bennett, Mary E.	35237	4903	99.387007974572	0.099327411527656	0.44555438885263	0.068110225047535	97.287375076484	0.20395676116663	2.2231286967163	0.28553946563329
VAC5841	1851	Die Geheimnisse von St. Louis	Brnstein, Heinrich, (1805-1892)	169478	57075	91.939366761468	1.5742456248009	1.5370726583981	4.9493149553334	96.781427945685	0.2838370565046	1.3088042049934	1.6259307928165
VAC5875	1851	The Old Distiller	Bradbury, Osgood.	35465	3989	98.841110954462	0.076131397152122	0.57521500070492	0.50754264768081	97.167209827024	0.10027575833542	2.431687139634	0.30082727500627
VAC5934	1851	Harry Burnham, the Young Continental...	Buckingham, Henry A.	261762	12843	98.932618179873	0.085191891871242	0.64104033434952	0.34114959390591	95.281476290586	0.1946585688702	3.8620260063848	0.66183913415869
VAC5952	1851	Polly Peablossom's Wedding	Burke, T. A. (Thomas A.), (1828-1880)	52351	7258	97.398330499895	0.32855150808963	1.8242249431721	0.44889304884338	93.937723890879	0.13777900248002	4.9600440892808	0.96445301736015
VAC5960	1851	The Sea-king	Burts, Robert, (d. 1839)	84314	8834	99.204165381787	0.2455108285694	0.51118438219038	0.039139407453092	97.226624405705	0.090559203079013	2.4903780846729	0.1924383065429
VAC5965	1851	Life in Varied Phases	Laing, Caroline H. Butler (1804-1892)	77276	8448	98.629587452767	0.51115482167814	0.73114550442569	0.12811222112946	96.815814393939	0.15388257575758	2.7225378787879	0.30776515151515
VAC5967	1851	The Life and Adventures of an Arkansaw Doctor	Byrn, M. Lafayette (1826-1903)	47085	4779	98.84251884889	0.06371455877668	1.0066900286716	0.087076563661463	95.522075748064	0.10462439840971	3.8292529817954	0.54404687173049
